epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6428,0.56293,1.69345,1.95766,1.08025,1,0.62,0.99237,0.89659,1,0.62,0.99237,0.96224,0.44131,0.44975,2.48259,1.05159,0.000653846,0.000653846,0.000653846
2,101.374,0.53278,0.5,0.95419,1.01502,0.98189,0.93463,0.96567,0.82408,0.98189,0.93463,0.96567,0.92292,0.67703,0.38808,1.83013,1.33956,0.00131616,0.00131616,0.00131616
3,146.128,0.52514,0.49383,0.80204,1.00835,0.72258,0.8908,0.87731,0.59757,0.72725,0.89655,0.87683,0.6468,0.87851,0.4898,2.26001,1.4854,0.00197406,0.00197406,0.00197406
4,166.41,0.53704,0.46457,0.69443,1.00853,0.99253,1,0.99489,0.84167,0.99253,1,0.99489,0.92982,0.54538,0.4061,0.94821,1.22044,0.0019802,0.0019802,0.0019802
5,180.824,0.49902,0.4148,0.60352,0.99281,0.90483,0.98356,0.97909,0.80999,0.90483,0.98356,0.97909,0.91256,0.67411,0.3305,0.91224,1.24217,0.0019736,0.0019736,0.0019736
6,198.088,0.49406,0.42608,0.56766,0.98488,0.99475,0.99425,0.995,0.87465,0.99475,0.99425,0.995,0.95318,0.53888,0.37189,0.81218,1.10892,0.001967,0.001967,0.001967
7,209.115,0.4651,0.42567,0.50397,0.97115,0.90813,0.90901,0.96144,0.72783,0.91388,0.91475,0.96725,0.77395,0.73079,0.34553,1.10536,1.33926,0.0019604,0.0019604,0.0019604
8,219.371,0.48473,0.45186,0.49927,0.9732,0.99428,0.99959,0.99494,0.92387,0.99428,0.99959,0.99494,0.97581,0.40445,0.33683,0.44978,1.00549,0.0019538,0.0019538,0.0019538
9,233.257,0.44633,0.41524,0.44928,0.96815,0.97516,0.98851,0.99403,0.9382,0.97516,0.98851,0.99403,0.97293,0.38255,0.35396,0.50962,0.95607,0.0019472,0.0019472,0.0019472
10,244.129,0.45942,0.43779,0.44316,0.97334,0.91056,0.97126,0.98832,0.89957,0.91056,0.97126,0.98832,0.92587,0.40967,0.65202,0.71929,0.99254,0.0019406,0.0019406,0.0019406
